# group,level,bytes,fetched_date -- AUTO-GENERATED by the refreshMapsSizes Gradle task; do not edit by hand
# Whole-world pmtiles from https://iiab.switnet.org/maps/2 (roles/maps/defaults dates). Seed captured 2026-07-24.
base,nat-z8,89456640,2026-07-24
base,osm-z11,9019431322,2026-07-24
base,osm-z14,87402584474,2026-07-24
satellite,7,88814387,2026-07-24
satellite,9,1288490189,2026-07-24
satellite,11,22333829939,2026-07-24
satellite,13,290339789210,2026-07-24
terrain,7,978216550,2026-07-24
terrain,8,6442450944,2026-07-24
terrain,9,28668906701,2026-07-24
terrain,10,106193066394,2026-07-24
search,pop-1k-cities,16111581,2026-07-24
